configuration,precision,retrieval_time,analysis_time,total_time
baseline,0.0,0.0015721321105957031,7.471855092048645,7.4734272241592405
without_llm,0.0,0.00020952224731445311,0.0,0.00020952224731445311
smaller_set,0.0,0.0003952503204345703,7.528163409233093,7.528558659553528
